ENERGY,TIME,RA,DEC
771.20135,388658461.61875224,164.81885,30.805258
210.29811,388658463.01350135,161.84357,29.861715
656.30054,388658482.1955076,164.53503,30.290411
125.41428,388660401.345621,164.48366,30.111086
221.61916,388660629.03389215,161.98839,29.905085
274.416,388660927.9555824,160.20891,30.08232
195.13727,388661324.27303267,165.23634,30.663738
202.83333,388661829.74536985,162.99396,31.876345
174.32893,388661959.29242915,157.21312,25.524813
798.1041,388669885.32117337,161.05835,29.135712
4076.075,388670565.3584382,163.78941,25.241045
199.74031,388671469.517092,163.0115,32.882286
189.26347,388673004.3150152,163.56717,26.5627
897.17554,388673540.4557906,160.42535,27.310163
1334.8828,388684615.4182379,162.71045,30.704054
1424.3068,388694766.960855,158.22307,25.451488
1348.7986,388695182.87069106,158.7029,26.832647
358.259,388695753.6894321,163.00803,26.711563
557.90546,388603544.1936083,179.5292,24.279379
319.94742,388603883.4737015,174.7171,25.642336
156.46242,388604343.27636456,176.47163,27.606644
159.03569,388604378.82285345,178.89638,29.642519
158.71762,388614856.5271462,176.54056,28.91898
647.00336,388615560.8966387,179.6614,29.44924
227.97218,388622466.81946635,177.18349,31.369766
191.06844,388624593.9393119,177.09335,27.041626
2982.81,388626538.32935137,171.48752,27.217693
568.58636,388626551.55233294,179.35025,26.95854
475.73395,388635822.6074501,177.99924,27.042622
162.71297,388636909.3650154,175.58751,27.055454
190.76317,388638328.4051641,170.9348,26.36124
155.70569,388638551.2902133,170.10333,24.50291
156.86887,388638586.2468141,176.34207,24.53922
357.6973,388649686.02318156,175.59677,24.01907
166.78491,388649853.00202966,170.66222,24.031778
138.15297,388650034.0769985,172.78387,28.291367
1073.0347,388650051.4841033,179.40935,29.765762
107.92246,388660633.5494047,172.59525,25.85009
320.30063,388660851.23721486,170.98953,25.644314
348.72928,388661724.6418692,178.29648,29.124395
403.7778,388671143.9482829,175.23831,29.40477
146.96318,388671453.9884199,169.36852,25.99323
143.38557,388671979.3629302,176.03154,26.76557
107.613396,388672157.45175534,179.16815,27.437233
105.0154,388672691.1352623,174.71875,27.759378
1152.3583,388673426.8994312,175.91933,30.732512
113.77339,388682444.1550055,178.16039,28.05486
2322.6125,388682730.2869676,174.77644,24.282152
182.30974,388682744.449825,177.88039,23.128855
248.62633,388683694.44935596,169.25795,25.566595
285.74887,388683774.7480894,179.91971,23.116179
121.60132,388684128.13721555,178.05269,27.787891
135.8721,388684328.8161685,172.9542,24.26716
390.80026,388684366.35218555,179.79597,26.567957
7196.749,388694439.38516647,177.43892,23.680239
146.59163,388694909.2396834,173.44063,24.802805
113.11176,388695254.80502176,173.7145,28.481094
186.04536,388695289.30410564,179.69598,29.312174
159.20853,388695664.4502724,178.04752,30.924698
586.57074,388695969.089727,178.96216,32.409523
132.68022,388599496.2824521,167.35295,35.038055
3700.4407,388599528.40373564,179.0252,33.34773
823.4778,388599543.1522349,174.46754,33.438347
135.53479,388603548.72933483,166.5764,34.781044
283.94342,388611059.41842884,169.44197,34.76286
116.667305,388614420.67512447,173.01837,30.108093
1408.0759,388614450.89387465,168.79497,33.802345
199.74701,388614966.9076765,166.91757,24.091452
1179.0507,388622439.19151247,179.41249,33.58061
517.0239,388624151.7002489,167.23845,28.117176
7308.4814,388624177.44098276,168.02837,31.323826
311.06516,388624379.09122044,176.7201,32.312325
241.61923,388624546.2325987,170.9687,34.383312
904.67267,388626415.82576454,166.89186,28.634989
410.55795,388626697.941846,168.95695,31.650814
429.4277,388633952.67470056,176.51724,33.328888
1024.2894,388635603.16654545,165.5741,32.222332
275.77338,388635693.504449,166.9555,29.225494
645.35706,388635876.39834934,175.01518,30.57415
226.29718,388637883.16178554,171.17578,28.687325
