ENERGY,TIME,RA,DEC
101.834656,488293465.46287614,309.7778,4.51381
118.66381,488293486.7835857,306.91162,8.150021
382.0168,488293959.62130576,307.63025,7.1721587
320.67975,488294700.8063168,308.28455,5.0552173
290.5595,488299021.98026544,305.82498,2.5012581
330.67368,488299030.7763182,308.1761,7.0215483
151.00133,488299032.68210673,308.1209,2.9960697
318.54837,488299033.4015694,305.97913,3.5653982
1283.6361,488299054.60277975,306.33133,3.3619637
764.4744,488299056.31689674,309.4752,0.26701573
263.05988,488299069.1942526,311.1719,2.6963856
298.17902,488299073.0177472,307.33063,4.697874
116.795654,488299077.65828353,306.70984,5.165657
799.6297,488299079.00026083,312.63458,1.3774697
549.73004,488299079.1127326,309.16953,1.7184584
117.54499,488299079.5462777,308.36932,1.8987333
158.68756,488299081.40688527,311.08014,2.1947365
348.4424,488299083.4773792,310.39774,0.46865097
777.4575,488299086.2782405,311.04065,1.2296263
1680.4025,488299086.3889791,305.72925,9.01016
831.0616,488299088.8695148,309.2012,1.4397408
176.32018,488299090.3251137,311.10498,2.2031493
363.87808,488299105.6323792,311.4742,3.3723876
1254.5817,488299107.2943422,307.98004,6.4919653
228.1473,488299108.0404254,312.0362,0.82115483
357.1002,488299108.3993016,310.37778,1.10247
912.4476,488299108.52086055,310.55093,1.8659315
541.51245,488299109.80283046,310.00482,0.8615222
211.87198,488299111.4227024,312.2977,2.4425383
326.86072,488299115.79839754,312.80377,1.2320411
109.65619,488299118.4775695,310.43832,0.18551297
363.63776,488299135.6664504,311.37726,3.5560768
310.96848,488299138.81360304,307.44855,3.5143092
1122.9899,488299142.98084396,309.6334,5.934848
395.05432,488299162.13216627,313.10275,0.77197903
399.86652,488299167.51008433,311.16467,3.8050063
153.95538,488299171.6452897,308.87744,8.328817
857.63403,488299180.549009,305.83353,8.355021
237.4083,488299180.6960113,310.5758,4.9007854
397.28088,488299625.60718447,307.78012,6.9191113
907.1368,488301108.50952864,308.12466,2.9762757
344.8035,488304677.43041086,305.25513,1.6284145
382.7135,488304677.6518878,305.40442,1.991694
142.07922,488304680.13186586,307.41437,4.920878
733.73,488304682.0712385,305.50497,7.1538982
144.85228,488304684.55402434,308.16736,0.51528627
1235.3402,488304692.52100253,308.81564,0.9334024
399.4915,488304693.2518793,310.0043,0.46344426
572.3941,488304694.27363694,306.9862,0.30355862
320.4369,488304700.17476714,304.96423,2.7573647
329.43445,488304701.57598406,309.1409,3.0912669
177.70518,488304710.19389945,305.96707,2.8415391
551.66705,488304713.8268131,306.67334,5.6437974
432.36655,488304720.29111093,309.5199,0.5287761
472.01364,488304724.3663406,308.25092,2.7751112
209.13153,488304725.7559525,306.95624,7.3160224
1113.7615,488304730.9061653,305.34406,7.3764963
179.07164,488304740.56139934,310.49088,5.6938434
150.89919,488304740.7652813,307.6234,5.5674934
714.0691,488304742.1694364,306.50763,3.2520602
107.78556,488304744.16526985,306.39667,0.23010376
242.59349,488304749.0556213,306.5752,6.877131
156.49034,488304753.8473898,311.11966,2.3185391
4219.6123,488304757.7095784,306.19397,2.019404
444.69843,488304758.90699136,306.7372,0.13214104
196.28981,488304759.23451895,308.863,6.699714
193.10612,488304763.539528,306.7386,9.585586
402.17712,488304763.8321298,309.37225,6.0461674
528.3333,488304765.61226743,309.63562,3.4916577
153.30879,488304765.73511255,309.54495,2.545102
214.90062,488304766.1024437,309.17926,0.0349022
313.08517,488304772.92291695,309.70605,1.8554814
277.99014,488304775.0367433,306.62726,3.09978
220.61018,488304780.7912347,305.52942,6.5806446
290.97318,488304783.3521991,306.07007,5.199048
183.46739,488304786.78288466,307.11295,10.584062
247.35378,488304798.1014083,307.6707,6.350442
131.38045,488304798.9878584,307.42743,7.579223
