index,source_name,ra,dec,glon,glat,energy_flux,flux_uncertainty,significance,significance_peak,variability_index,frac_variability,spectrum_type,pl_index,pl_flux_density,class1,class2,assoc1,assoc2,flags
6794,4FGL J2221.9-3504,335.497,-35.0712,9.548246,-57.24028,2.4672764e-12,3.1160206e-13,8.502935,8.796742,51.68135,0.7960314,PowerLaw,2.6631453,1.152355e-12,fsrq,,NVSS J222227-350942,,0
6795,4FGL J2222.1-3907,335.54,-39.1317,2.127747,-56.803272,1.3388009e-12,2.5127074e-13,7.555039,-inf,9.160317,0.0,PowerLaw,2.1048129,1.7030836e-14,,,,,4
6796,4FGL J2222.8+1209,335.7098,12.1568,75.524345,-36.686916,1.9759639e-12,4.816412e-13,7.975287,8.897501,59.61063,1.3050675,LogParabola,2.3642542,1.3333833e-13,bcu,,TXS 2220+119,,0
6797,4FGL J2222.9+1507,335.7305,15.1258,77.955734,-34.471878,1.0941904e-12,2.757246e-13,5.2440686,-inf,14.464826,0.0,PowerLaw,1.944003,6.5681476e-15,,,,,0
6798,4FGL J2223.0+2137,335.7504,21.624,82.83041,-29.456833,1.91267e-12,5.802001e-13,4.0767264,-inf,6.6307936,0.0,PowerLaw,2.6154528,1.0735471e-13,,,,,16
6799,4FGL J2223.0+2704,335.7579,27.0736,86.54493,-25.119684,8.8494874e-13,2.5298521e-13,5.1509757,-inf,20.518734,0.34571314,LogParabola,2.2643013,3.0365352e-14,,,,,0
6800,4FGL J2223.0+6746,335.7737,67.7729,109.58522,8.831705,2.7398455e-12,7.2406783e-13,4.30036,-inf,8.1058,0.0,PowerLaw,2.4773943,6.049779e-14,bcu,,TXS 2221+675,,24
6801,4FGL J2223.3+0102,335.8476,1.0476,65.220085,-44.604538,1.6552277e-12,3.2984122e-13,7.180022,-inf,17.87354,0.0,PowerLaw,1.9454181,7.59496e-15,bll,,SDSS J222329.56+010226.6,,0
6802,4FGL J2223.4+5814,335.8733,58.2385,104.46763,0.77289206,8.04678e-12,1.6984785e-12,5.8852487,-inf,5.8257713,0.0,LogParabola,2.816053,1.0916349e-12,bcu,,SSTSL2 J222330.04+581350.9,,0
6803,4FGL J2223.9+4128,335.9761,41.4819,95.40473,-13.37174,1.3413486e-12,3.249778e-13,5.737286,-inf,15.880075,0.0,PowerLaw,1.9693947,4.2468453e-15,,,,,0
6804,4FGL J2224.0-1127,336.0241,-11.4658,50.031834,-52.067787,2.731206e-12,4.6174945e-13,8.009702,-inf,19.38479,0.43905032,PowerLaw,2.2344398,4.7949353e-14,bll,,PKS 2221-116,,16
6805,4FGL J2224.3+7737,336.0901,77.6201,115.219246,17.009777,2.1726516e-12,5.3261253e-13,6.1139607,-inf,9.178006,0.0,LogParabola,2.6518397,4.498626e-13,bcu,,NVSS J222721+773319,,3
